ID;familia_profesional;nivel;nombre_oficial
50;Fabricación Mecánica;Grado Superior;Técnico Superior en Diseño en Fabricación Mecánica
51;Fabricación Mecánica;Grado Superior;Técnico Superior en Programación de la Producción en Fabricación Mecánica
52;Hostelería y Turismo;Grado Medio;Técnico en Cocina y Gastronomía
53;Hostelería y Turismo;Grado Medio;Técnico en Servicios de Restauración
54;Hostelería y Turismo;Grado Superior;Técnico Superior en Agencias de Viajes y Gestión de Eventos
55;Hostelería y Turismo;Grado Superior;Técnico Superior en Dirección de Cocina
56;Hostelería y Turismo;Grado Superior;Técnico Superior en Dirección de Servicios de Restauración
57;Hostelería y Turismo;Grado Superior;Técnico Superior en Gestión de Alojamientos Turísticos
58;Hostelería y Turismo;Grado Superior;Técnico Superior en Guía, Información y Asistencia Turísticas
59;Imagen Personal;Grado Medio;Técnico en Estética y Belleza
60;Imagen Personal;Grado Medio;Técnico en Peluquería y Cosmética Capilar
61;Imagen Personal;Grado Superior;Técnico Superior en Asesoría de Imagen Personal y Corporativa
62;Imagen Personal;Grado Superior;Técnico Superior en Estética Integral y Bienestar
63;Imagen Personal;Grado Superior;Técnico Superior en Caracterización y Maquillaje Profesional
64;Imagen Personal;Grado Superior;Técnico Superior en Termalismo y Spa
65;Imagen y Sonido;Grado Medio;Técnico en Video Disc-Jockey y Sonido
66;Imagen y Sonido;Grado Superior;Técnico Superior en Animaciones 3D, Juegos y Entornos Interactivos
67;Imagen y Sonido;Grado Superior;Técnico Superior en Realización de Proyectos de Audiovisuales y Espectáculos
68;Imagen y Sonido;Grado Superior;Técnico Superior en Sonido para Audiovisuales y Espectáculos
69;Imagen y Sonido;Grado Superior;Técnico Superior en Iluminación, Captación y Tratamiento de Imagen
70;Industrias Alimentarias;Grado Medio;Técnico en Aceites de Oliva y Vinos
71;Industrias Alimentarias;Grado Medio;Técnico en Elaboración de Productos Alimenticios
72;Industrias Alimentarias;Grado Medio;Técnico en Panadería, Repostería y Confitería
73;Industrias Alimentarias;Grado Superior;Técnico Superior en Procesos y Calidad en la Industria Alimentaria
74;Industrias Extractivas;Grado Medio;Técnico en Piedra Natural
75;Industrias Extractivas;Grado Superior;Técnico Superior en Minería
76;Informática y Comunicaciones;Grado Medio;Técnico en Sistemas Microinformáticos y Redes (SMR)
77;Informática y Comunicaciones;Grado Superior;Técnico Superior en Administración de Sistemas Informáticos en Red (ASIR)
78;Informática y Comunicaciones;Grado Superior;Técnico Superior en Desarrollo de Aplicaciones Multiplataforma (DAM)
79;Informática y Comunicaciones;Grado Superior;Técnico Superior en Desarrollo de Aplicaciones Web (DAW)
80;Instalación y Mantenimiento;Grado Medio;Técnico en Instalaciones Frigoríficas y de Climatización
81;Instalación y Mantenimiento;Grado Medio;Técnico en Instalaciones de Producción de Calor
82;Instalación y Mantenimiento;Grado Medio;Técnico en Mantenimiento Electromecánico
83;Instalación y Mantenimiento;Grado Superior;Técnico Superior en Desarrollo de Proyectos de Instalaciones Térmicas y de Fluidos
84;Instalación y Mantenimiento;Grado Superior;Técnico Superior en Mantenimiento de Instalaciones Térmicas y de Fluidos
85;Instalación y Mantenimiento;Grado Superior;Técnico Superior en Mantenimiento Mecatrónico
86;Madera, Mueble y Corcho;Grado Medio;Técnico en Carpintería y Mueble
87;Madera, Mueble y Corcho;Grado Medio;Técnico en Instalación y Amueblamiento
88;Madera, Mueble y Corcho;Grado Superior;Técnico Superior en Diseño y Amueblamiento
89;Marítimo-Pesquera;Grado Medio;Técnico en Mantenimiento y Control de la Maquinaria de Buques y Embarcaciones
90;Marítimo-Pesquera;Grado Medio;Técnico en Navegación y Pesca de Litoral
91;Marítimo-Pesquera;Grado Medio;Técnico en Operaciones Subacuáticas e Hiperbáricas
92;Marítimo-Pesquera;Grado Medio;Técnico en Cultivos Acuícolas
93;Marítimo-Pesquera;Grado Superior;Técnico Superior en Acuicultura
94;Marítimo-Pesquera;Grado Superior;Técnico Superior en Organización del Mantenimiento de Maquinaria de Buques y Embarcaciones
95;Marítimo-Pesquera;Grado Superior;Técnico Superior en Transporte Marítimo y Pesca de Altura
96;Química;Grado Medio;Técnico en Operaciones de Laboratorio
97;Química;Grado Medio;Técnico en Planta Química
98;Química;Grado Superior;Técnico Superior en Fabricación de Productos Farmacéuticos, Biotecnológicos y Afines
99;Química;Grado Superior;Técnico Superior en Laboratorio de Análisis y de Control de Calidad
100;Química;Grado Superior;Técnico Superior en Química Industrial
101;Sanidad;Grado Medio;Técnico en Farmacia y Parafarmacia
102;Sanidad;Grado Medio;Técnico en Emergencias Sanitarias
103;Sanidad;Grado Medio;Técnico en Cuidados Auxiliares de Enfermería (TCAE)
104;Sanidad;Grado Superior;Técnico Superior en Anatomía Patológica y Citodiagnóstico
105;Sanidad;Grado Superior;Técnico Superior en Audiología Protésica
106;Sanidad;Grado Superior;Técnico Superior en Documentación y Administración Sanitarias
107;Sanidad;Grado Superior;Técnico Superior en Higiene Bucodental
108;Sanidad;Grado Superior;Técnico Superior en Imagen para el Diagnóstico y Medicina Nuclear
109;Sanidad;Grado Superior;Técnico Superior en Laboratorio Clínico y Biomédico
110;Sanidad;Grado Superior;Técnico Superior en Ortoprótesis y Productos de Apoyo
111;Sanidad;Grado Superior;Técnico Superior en Prótesis Dentales
112;Sanidad;Grado Superior;Técnico Superior en Radioterapia y Dosimetría
113;Sanidad;Grado Superior;Técnico Superior en Sanidad Ambiental
114;Seguridad y Medio Ambiente;Grado Medio;Técnico en Emergencias y Protección Civil
115;Seguridad y Medio Ambiente;Grado Superior;Técnico Superior en Coordinación de Emergencias y Protección Civil
116;Seguridad y Medio Ambiente;Grado Superior;Técnico Superior en Educación y Control Ambiental
117;Servicios Socioculturales y a la Comunidad;Grado Medio;Técnico en Atención a Personas en Situación de Dependencia
118;Servicios Socioculturales y a la Comunidad;Grado Superior;Técnico Superior en Animación Sociocultural y Turística
119;Servicios Socioculturales y a la Comunidad;Grado Superior;Técnico Superior en Educación Infantil
120;Servicios Socioculturales y a la Comunidad;Grado Superior;Técnico Superior en Integración Social
121;Servicios Socioculturales y a la Comunidad;Grado Superior;Técnico Superior en Mediación Comunicativa
122;Servicios Socioculturales y a la Comunidad;Grado Superior;Técnico Superior en Promoción de Igualdad de Género
123;Textil, Confección y Piel;Grado Medio;Técnico en Calzado y Complementos de Moda
124;Textil, Confección y Piel;Grado Medio;Técnico en Confección y Moda
125;Textil, Confección y Piel;Grado Medio;Técnico en Fabricación y Ennoblecimiento Textil
126;Textil, Confección y Piel;Grado Superior;Técnico Superior en Patronaje y Moda
127;Textil, Confección y Piel;Grado Superior;Técnico Superior en Vestuario a Medida y de Espectáculos
128;Transporte y Mantenimiento de Vehículos;Grado Medio;Técnico en Carrocería
129;Transporte y Mantenimiento de Vehículos;Grado Medio;Técnico en Electromecánica de Maquinaria
130;Transporte y Mantenimiento de Vehículos;Grado Medio;Técnico en Electromecánica de Vehículos Automóviles
131;Transporte y Mantenimiento de Vehículos;Grado Medio;Técnico en Mantenimiento de Material Rodante Ferroviario
132;Transporte y Mantenimiento de Vehículos;Grado Medio;Técnico en Mantenimiento de Embarcaciones de Recreo
133;Transporte y Mantenimiento de Vehículos;Grado Superior;Técnico Superior en Automoción
134;Transporte y Mantenimiento de Vehículos;Grado Superior;Técnico Superior en Mantenimiento de Sistemas Aeromecánicos de Aviones con Motor de Pistón / Turbina
135;Transporte y Mantenimiento de Vehículos;Grado Superior;Técnico Superior en Mantenimiento de Sistemas de Aeronaves
136;Vidrio y Cerámica;Grado Medio;Técnico en Fabricación de Productos Cerámicos
137;Vidrio y Cerámica;Grado Superior;Técnico Superior en Desarrollo y Fabricación de Productos Cerámicos
